Image Number,URL,Alt Text,Title,File Extension,File Size,Resolution,Status,Error Message
563,https://www.pothys.com/cdn/shop/files/4-msa-034-rs-11205---Copy-_2.jpg?v=1756562387&width=720,"Borderless chocolate brown soft silk saree with cloud-snow flakes theme buttas, zari-rich intricate pallu","Borderless chocolate brown soft silk saree with cloud-snow flakes theme buttas, zari-rich intricate pallu (srcset variant)",.jpg,94.94 KB,720x890,Success,
564,https://www.pothys.com/cdn/shop/files/4-msa-034-rs-11205---Copy-_2.jpg?v=1756562387&width=940,"Borderless chocolate brown soft silk saree with cloud-snow flakes theme buttas, zari-rich intricate pallu","Borderless chocolate brown soft silk saree with cloud-snow flakes theme buttas, zari-rich intricate pallu (srcset variant)",.jpg,138.20 KB,910x1125,Success,
565,https://www.pothys.com/cdn/shop/files/4-msa-034-rs-11205-_1.jpg?v=1756562468&width=1066,"Borderless chocolate brown soft silk saree with cloud-snow flakes theme buttas, zari-rich intricate pallu","Borderless chocolate brown soft silk saree with cloud-snow flakes theme buttas, zari-rich intricate pallu",.jpg,365.00 KB,910x1125,Success,
566,https://www.pothys.com/cdn/shop/files/4-msa-034-rs-11205---Copy-_2.jpg?v=1756562387&width=1066,"Borderless chocolate brown soft silk saree with cloud-snow flakes theme buttas, zari-rich intricate pallu","Borderless chocolate brown soft silk saree with cloud-snow flakes theme buttas, zari-rich intricate pallu",.jpg,138.20 KB,910x1125,Success,
567,https://www.pothys.com/cdn/shop/files/7-POP-1286-RS-715.jpg?v=1752589085&width=1066,"Red elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse","Red elephant, kalamkari printed gajji silk saree with annam printed border & kalamkari printed pallu along with printed blouse",.jpg,235.22 KB,910x1125,Success,
568,https://www.pothys.com/cdn/shop/files/4-msa-034-rs-11205---Copy-_2.jpg?v=1756562387&width=533,"Borderless chocolate brown soft silk saree with cloud-snow flakes theme buttas, zari-rich intricate pallu","Borderless chocolate brown soft silk saree with cloud-snow flakes theme buttas, zari-rich intricate pallu (srcset variant)",.jpg,53.08 KB,533x659,Success,
569,https://www.pothys.com/cdn/shop/files/4-msa-034-rs-11205-_1.jpg?v=1756562468&width=533,"Borderless chocolate brown soft silk saree with cloud-snow flakes theme buttas, zari-rich intricate pallu","Borderless chocolate brown soft silk saree with cloud-snow flakes theme buttas, zari-rich intricate pallu (srcset variant)",.jpg,128.28 KB,533x659,Success,
570,https://www.pothys.com/cdn/shop/files/5-msa-035-rs-10505---Copy-_2.jpg?v=1756562543&width=1066,"Pink soft silk saree with zari floral buttas, contrast floral design border & zari-rich jaal pallu","Pink soft silk saree with zari floral buttas, contrast floral design border & zari-rich jaal pallu",.jpg,138.67 KB,910x1125,Success,
571,https://www.pothys.com/cdn/shop/files/4-msa-034-rs-11205-_1.jpg?v=1756562468&width=940,"Borderless chocolate brown soft silk saree with cloud-snow flakes theme buttas, zari-rich intricate pallu","Borderless chocolate brown soft silk saree with cloud-snow flakes theme buttas, zari-rich intricate pallu (srcset variant)",.jpg,365.00 KB,910x1125,Success,
572,https://www.pothys.com/cdn/shop/files/4-msa-034-rs-11205-_1.jpg?v=1756562468&width=720,"Borderless chocolate brown soft silk saree with cloud-snow flakes theme buttas, zari-rich intricate pallu","Borderless chocolate brown soft silk saree with cloud-snow flakes theme buttas, zari-rich intricate pallu (srcset variant)",.jpg,235.80 KB,720x890,Success,
